id,timestamp,status,file_path_1,file_path_2,count_bbox
437,2024-10-05 23:57:30,incomplete,/usr/local/spark/assets/cam01/cam_120241005_235730.jpg,/usr/local/spark/assets/cam02/cam_220241005_235731.jpg,4
438,2024-10-06 00:00:32,incomplete,/usr/local/spark/assets/cam01/cam_120241006_000032.jpg,/usr/local/spark/assets/cam02/cam_220241006_000032.jpg,6
439,2024-10-06 00:03:33,incomplete,/usr/local/spark/assets/cam01/cam_120241006_000333.jpg,/usr/local/spark/assets/cam02/cam_220241006_000333.jpg,4
440,2024-10-06 00:06:34,incomplete,/usr/local/spark/assets/cam01/cam_120241006_000634.jpg,/usr/local/spark/assets/cam02/cam_220241006_000634.jpg,3
441,2024-10-06 00:09:35,incomplete,/usr/local/spark/assets/cam01/cam_120241006_000935.jpg,/usr/local/spark/assets/cam02/cam_220241006_000936.jpg,4
442,2024-10-06 00:12:36,incomplete,/usr/local/spark/assets/cam01/cam_120241006_001236.jpg,/usr/local/spark/assets/cam02/cam_220241006_001237.jpg,5
443,2024-10-06 00:15:38,incomplete,/usr/local/spark/assets/cam01/cam_120241006_001538.jpg,/usr/local/spark/assets/cam02/cam_220241006_001538.jpg,5
444,2024-10-06 00:18:39,incomplete,/usr/local/spark/assets/cam01/cam_120241006_001839.jpg,/usr/local/spark/assets/cam02/cam_220241006_001839.jpg,5
445,2024-10-06 00:21:40,incomplete,/usr/local/spark/assets/cam01/cam_120241006_002140.jpg,/usr/local/spark/assets/cam02/cam_220241006_002141.jpg,5
447,2024-10-06 00:27:43,incomplete,/usr/local/spark/assets/cam01/cam_120241006_002743.jpg,/usr/local/spark/assets/cam02/cam_220241006_002743.jpg,5
448,2024-10-06 00:30:44,incomplete,/usr/local/spark/assets/cam01/cam_120241006_003044.jpg,/usr/local/spark/assets/cam02/cam_220241006_003045.jpg,5
449,2024-10-06 00:33:45,incomplete,/usr/local/spark/assets/cam01/cam_120241006_003345.jpg,/usr/local/spark/assets/cam02/cam_220241006_003346.jpg,5
450,2024-10-06 00:36:46,incomplete,/usr/local/spark/assets/cam01/cam_120241006_003646.jpg,/usr/local/spark/assets/cam02/cam_220241006_003647.jpg,5
